model,details,target,split,mse,mae,r2,dist_avg,dist_r2,sqdist_avg,sqdist_r2
Net3,10 fit epochs,center,valid,0.0023208020720630884,0.03585977479815483,0.5292647140115633,0.057386364787817,0.4301047921180725,0.004641604144126177,0.6257021129131317
Net3,10 fit epochs,center,train,0.0012507534120231867,0.026886040344834328,0.7805960924939033,0.04275708645582199,0.5905452370643616,0.0025015058927237988,0.8101114481687546
Net3,10 fit epochs,topleft,valid,0.020588457584381104,0.10332831740379333,0.17015174265458172,0.16688969731330872,0.22750020027160645,0.04117690771818161,0.3556980490684509
Net3,10 fit epochs,topleft,train,0.014115313068032265,0.08696188032627106,0.38821937628696307,0.1388140469789505,0.4097867012023926,0.028230633586645126,0.6283628642559052
