model,details,target,split,r2,mse,mae,dist_avg,dist_r2,sqdist_avg,sqdist_r2
RF Feats,"feats 11,12,22",topleft,train,0.9998506120475069,9.326363397121895e-06,0.0004217120003886521,0.0008369858260266483,0.9971949346363544,1.865272679424379e-05,0.999841582524823
RF Feats,"feats 11,12,22",center,train,0.99695925229297,3.8366222725016996e-05,0.0027764360420405865,0.004894406534731388,0.9660582654178143,7.673244545003399e-05,0.9969588099047542
RF Feats,"feats 11,12,22",topleft,valid,0.9996621430085476,1.9814860934275202e-05,0.0007223118445836008,0.0014370636781677604,0.9950409363955259,3.962972550652921e-05,0.999654028826626
RF Feats,"feats 11,12,22",center,valid,0.9767338178079973,0.0002874498604796827,0.008284511044621468,0.01439083181321621,0.8998983949422836,0.0005748997791670263,0.9771351534873247
Lasso Feats,"alpha=1; feats 11,12,22",topleft,train,0.909307482637673,0.005253153387457132,0.04693589359521866,0.07454574108123779,0.7501682043075562,0.01050630770623684,0.9107700064778328
Lasso Feats,"alpha=1; feats 11,12,22",center,train,0.9203510628615736,0.0010057520121335983,0.0234371405094862,0.03747762739658356,0.7401001453399658,0.0020115035586059093,0.9202766790986061
Lasso Feats,"alpha=1; feats 11,12,22",topleft,valid,0.6924497632981301,0.017654776573181152,0.08195162564516068,0.13045889139175415,0.5498084127902985,0.035309549421072006,0.691744327545166
Lasso Feats,"alpha=1; feats 11,12,22",center,valid,0.8421148088774588,0.0019818737637251616,0.03359488025307655,0.05330542102456093,0.6292112469673157,0.003963747527450323,0.8423542827367783
