model,details,target,split,mse,mae,r2,dist_avg,dist_r2,sqdist_avg,sqdist_r2
FeatsNet3.1222,"y_norm=True | feats=11,12 | epochs=90, lr=1e-2",topleft,valid,0.0002538133121561259,0.010208267718553543,0.9928383581816628,0.016679035499691963,0.9227960109710693,0.0005076266243122518,0.9920570822432637
FeatsNet3.1222,"y_norm=True | feats=11,12 | epochs=90, lr=1e-2",topleft,train,0.0002495672961231321,0.01011587493121624,0.9933957515536629,0.01679052971303463,0.9286095798015594,0.0004991345922462642,0.9934292319230735
