model,details,target,split,r2,mse,mae,dist_avg,dist_r2,sqdist_avg,sqdist_r2
RF,default params,topleft,train,0.9726019296411832,0.0015845339512452483,0.01833871379494667,0.030422376468777657,0.8980427756905556,0.0031690679024904966,0.9730851296335459
RF,default params,center,train,0.9831539593460099,0.0002126609906554222,0.009108157828450203,0.015019617974758148,0.8958419486880302,0.00042532195220701396,0.9831429198384285
RF,default params,topleft,valid,0.8348428117858524,0.00952635146677494,0.051478732377290726,0.084943026304245,0.7068759799003601,0.019052701070904732,0.8336681425571442
RF,default params,center,valid,0.8713939945614395,0.0016202675178647041,0.026063401252031326,0.04192275181412697,0.7083882987499237,0.0032405355013906956,0.8711178004741669
