model,details,target,split,r2,mse,mae,dist_avg,dist_r2,sqdist_avg,sqdist_r2
Lasso,alpha=1,topleft,train,0.909307482637673,0.005253153387457132,0.04693589359521866,0.07454574108123779,0.7501682043075562,0.01050630770623684,0.9107700064778328
Lasso,alpha=1,center,train,0.9203510628615736,0.0010057520121335983,0.0234371405094862,0.03747762739658356,0.7401001453399658,0.0020115035586059093,0.9202766790986061
Lasso,alpha=1,topleft,valid,0.6924497632981301,0.017654776573181152,0.08195162564516068,0.13045889139175415,0.5498084127902985,0.035309549421072006,0.691744327545166
Lasso,alpha=1,center,valid,0.8421148088774588,0.0019818737637251616,0.03359488025307655,0.05330542102456093,0.6292112469673157,0.003963747527450323,0.8423542827367783
