epoch,train_loss,valid_loss,time
0,0.5416790246963501,0.08770118653774261,00:08
1,0.520074725151062,0.14008751511573792,00:08
2,0.5232527852058411,0.17797645926475525,00:08
3,0.5150761008262634,0.19532980024814606,00:08
4,0.502793550491333,0.2007453888654709,00:08
5,0.47968536615371704,0.23794396221637726,00:08
6,0.462095707654953,0.23262909054756165,00:08
7,0.44474563002586365,0.19689823687076569,00:08
8,0.4244334101676941,0.1838466376066208,00:08
9,0.4048060476779938,0.18050213158130646,00:08
10,0.38372495770454407,0.16943420469760895,00:08
11,0.36295342445373535,0.13297288119792938,00:08
12,0.3398037850856781,0.1321018785238266,00:08
13,0.3140738904476166,0.10056301206350327,00:08
14,0.2911490797996521,0.07844564318656921,00:08
15,0.26479020714759827,0.06284494698047638,00:08
16,0.24249404668807983,0.07179861515760422,00:08
17,0.2229119837284088,0.06334797292947769,00:08
18,0.20409280061721802,0.06385091692209244,00:08
19,0.1876240074634552,0.051274675875902176,00:08
20,0.17185647785663605,0.05175556242465973,00:08
21,0.15781711041927338,0.048810090869665146,00:08
22,0.1451602280139923,0.0524936243891716,00:08
23,0.13353531062602997,0.049149028956890106,00:08
24,0.12411118298768997,0.04850238189101219,00:08
25,0.11563291400671005,0.04769008606672287,00:08
26,0.10745001584291458,0.044814661145210266,00:08
27,0.10020145028829575,0.04376646503806114,00:08
28,0.09343365579843521,0.04085628688335419,00:08
29,0.08789271861314774,0.04078630730509758,00:08
30,0.08263244479894638,0.044498395174741745,00:08
31,0.07722504436969757,0.0433419793844223,00:08
32,0.07350434362888336,0.042068660259246826,00:08
33,0.07195393741130829,0.04297025874257088,00:08
34,0.06821095198392868,0.042862068861722946,00:08
35,0.06526607275009155,0.04252573847770691,00:08
36,0.06272348016500473,0.04310625046491623,00:08
37,0.059456806629896164,0.04203365370631218,00:08
38,0.0566508024930954,0.04106573015451431,00:08
39,0.05445597693324089,0.03991219401359558,00:08
40,0.052906520664691925,0.041150111705064774,00:08
41,0.051004454493522644,0.039760470390319824,00:10
42,0.04886114224791527,0.039123885333538055,00:10
43,0.04761556163430214,0.03937023505568504,00:11
44,0.046216174960136414,0.03887719660997391,00:14
45,0.04487035050988197,0.03915674611926079,00:09
46,0.04543211683630943,0.039072226732969284,00:08
47,0.04389544948935509,0.03880457952618599,00:08
48,0.042926229536533356,0.03818504139780998,00:08
49,0.042526792734861374,0.0388554148375988,00:09
