model,details,target,split,mse,mae,r2,dist_avg,dist_r2,sqdist_avg,sqdist_r2
ResNet18,90 fit epochs,topleft,valid,0.02107567898929119,0.09461501240730286,0.44161759481618634,0.15987607836723328,-0.16641724109649658,0.04215136170387268,0.8000648766756058
ResNet18,90 fit epochs,topleft,train,0.006928533315658569,0.04729495942592621,0.696515702751122,0.07393469661474228,0.6493989527225494,0.013857066631317139,0.04215136170387268
ResNet18,90 fit epochs,center,valid,0.003279102500528097,0.032107874751091,0.4257295094926842,0.04989534616470337,0.41410475969314575,0.00655820406973362,0.4758351445198059
ResNet18,90 fit epochs,center,train,0.0026112208142876625,0.02975848875939846,0.553456588633748,0.04689919948577881,0.4467257261276245,0.005222441628575325,0.00655820406973362
