,0,1,2,3,4,avg,min,max
pix,0.022276107221841812,0.02267732098698616,0.021265633404254913,0.02083493210375309,0.020843327045440674,0.02157946415245533,0.02083493210375309,0.02267732098698616
pix|min,0.017939751967787743,0.018270140513777733,0.01642450876533985,0.01786605268716812,0.017883481457829475,0.017676787078380586,0.01642450876533985,0.018270140513777733
pix|max,0.018273310735821724,0.017049169167876244,0.018033644184470177,0.018200727179646492,0.019241144880652428,0.018159599229693412,0.017049169167876244,0.019241144880652428
pix|min|max,0.017526179552078247,0.015530038625001907,0.016443144530057907,0.017326733097434044,0.016799870878458023,0.016725193336606027,0.015530038625001907,0.017526179552078247
