model,details,target,x_cols,y_norm,x_norm,epochs,split,mse,mae,r2,dist_avg,dist_r2,sqdist_avg,sqdist_r2
fastTab1.2,x=all y_norm=False x_norm=True epochs=10 ,topleft,all,False,True,10,valid,8.018231646412289e+19,738670400.0,-7.696442740384922e+21,1082760832.0,-4609599999.0,1.6036463292824578e+20,-2.115986730047473e+21
fastTab1.2,x=all y_norm=False x_norm=True epochs=10 ,topleft,all,False,True,10,train,0.03745141625404358,0.053512103855609894,-0.6416424877106324,0.0831187441945076,0.6394824683666229,0.07490283995866776,-0.025707125663757324
fastTab1.2,x=all y_norm=False x_norm=True epochs=10 ,center,all,False,True,10,valid,2.2932057723198505e+18,190161488.0,-2.7988627115526124e+20,320387008.0,-3040397055.0,4.586411544639701e+18,-3.44044964077342e+20
fastTab1.2,x=all y_norm=False x_norm=True epochs=10 ,center,all,False,True,10,train,0.004044055473059416,0.03042534366250038,0.27926444211315943,0.04891101270914078,0.5265590846538544,0.008088109083473682,0.37461376190185547
fastTab1.2,x=restrict y_norm=False x_norm=False epochs=10 ,topleft,restrict,False,False,10,valid,0.0006538889720104635,0.01987316831946373,0.9427756371689383,0.031299278140068054,0.8633780628442764,0.0013077780604362488,0.9817357268184423
fastTab1.2,x=restrict y_norm=False x_norm=False epochs=10 ,topleft,restrict,False,False,10,train,0.000617780489847064,0.019301876425743103,0.9495561871631517,0.030629893764853477,0.8679151087999344,0.0012355607468634844,0.9833281859755516
fastTab1.2,x=restrict y_norm=False x_norm=False epochs=10 ,center,restrict,False,False,10,valid,0.0026818751357495785,0.03827140852808952,0.4747830273991814,0.06182383745908737,0.35830622911453247,0.005363750737160444,0.54090416431427
fastTab1.2,x=restrict y_norm=False x_norm=False epochs=10 ,center,restrict,False,False,10,train,0.002530612051486969,0.03794126957654953,0.5018088424021049,0.06030576303601265,0.4289173483848572,0.005061224568635225,0.621568888425827
fastTab1.2,x=pts y_norm=False x_norm=False epochs=10 ,topleft,pts,False,False,10,valid,0.00262159644626081,0.03817581385374069,0.8452542325399863,0.05911386013031006,0.7286956608295441,0.00524319289252162,0.9154365956783295
fastTab1.2,x=pts y_norm=False x_norm=False epochs=10 ,topleft,pts,False,False,10,train,0.00117472221609205,0.02687796950340271,0.9388257196407116,0.04241924360394478,0.8190036565065384,0.0023494441993534565,0.9692380167543888
fastTab1.2,x=pts y_norm=False x_norm=False epochs=10 ,center,pts,False,False,10,valid,0.0012776573421433568,0.027126330882310867,0.8137709207833057,0.043148983269929886,0.6083549559116364,0.0025553153827786446,0.825599268078804
fastTab1.2,x=pts y_norm=False x_norm=False epochs=10 ,center,pts,False,False,10,train,0.0005841757520101964,0.019223058596253395,0.8992528929792388,0.03010854870080948,0.705560564994812,0.001168351504020393,0.9075996726751328
fastTab1.2,x=all y_norm=False x_norm=False epochs=10 ,topleft,all,False,False,10,valid,46118.37890625,28.721582412719727,-1328120.7529760916,46.16633224487305,-215.71266174316406,92236.78125,-1514659.5
fastTab1.2,x=all y_norm=False x_norm=False epochs=10 ,topleft,all,False,False,10,train,0.011068723164498806,0.06712038815021515,0.47709704114832713,0.10399185121059418,0.5588474869728088,0.022137446328997612,0.7110714614391327
fastTab1.2,x=all y_norm=False x_norm=False epochs=10 ,center,all,False,False,10,valid,3153.245849609375,4.787158966064453,-602134.2150327599,6.8060622215271,-67.66082763671875,6306.4912109375,-524017.125
fastTab1.2,x=all y_norm=False x_norm=False epochs=10 ,center,all,False,False,10,train,0.004513360094279051,0.028939854353666306,0.22421622759885407,0.04553147405385971,0.5639176666736603,0.009026719257235527,0.3142659664154053
fastTab1.2,x=restrict y_norm=True x_norm=True epochs=40 ,topleft,restrict,True,True,40,valid,0.00016523747763130814,0.00851733610033989,0.9964645100944931,0.014334147796034813,0.9403613992035389,0.0003304749552626163,0.995891519356519
fastTab1.2,x=restrict y_norm=True x_norm=True epochs=40 ,topleft,restrict,True,True,40,train,0.00011930320761166513,0.007475156337022781,0.9968537560279316,0.012356181629002094,0.9460387118160725,0.00023860634246375412,0.9966751823667437
fastTab1.2,x=restrict y_norm=True x_norm=True epochs=40 ,center,restrict,True,True,40,valid,0.002125675557181239,0.032189738005399704,0.5509120287056912,0.05363921448588371,0.47723448276519775,0.00425135251134634,0.6756316423416138
