epoch,train_loss,valid_loss,time
0,4.694416522979736,0.8503155708312988,00:05
1,4.279676437377931,1.013585090637207,00:04
2,3.9833014011383057,1.033145785331726,00:04
3,3.708065032958984,0.9719330072402954,00:05
4,3.442864894866944,0.8290760517120361,00:05
5,3.206389904022217,0.8474670648574829,00:05
6,3.0419728755950928,0.8145865797996521,00:05
7,2.8478679656982417,0.8000203371047974,00:05
8,2.662271499633789,0.8455868363380432,00:04
9,2.5176198482513428,0.8361279964447021,00:05
10,2.423824548721313,0.8611921668052673,00:04
11,2.287558078765869,0.776031494140625,00:05
12,2.159198522567749,0.7368612289428711,00:05
13,2.0272364616394043,0.7027492523193359,00:05
14,1.911312341690064,0.7337945699691772,00:05
15,1.8072590827941888,0.687374472618103,00:05
16,1.7019792795181274,0.7060415148735046,00:04
17,1.6226792335510254,0.6302068829536438,00:05
18,1.531198501586914,0.5806117653846741,00:04
19,1.4460618495941162,0.5398802757263184,00:06
20,1.3667397499084473,0.5173342823982239,00:07
21,1.2924014329910278,0.5146903991699219,00:05
22,1.2089123725891109,0.5178719162940979,00:05
23,1.1407501697540283,0.5026180148124695,00:05
24,1.0753722190856934,0.4931859374046326,00:05
25,1.016427993774414,0.4900362193584442,00:05
26,0.9645730257034302,0.4715025424957275,00:04
27,0.9111390113830566,0.4603448510169983,00:05
28,0.8588268160820007,0.4625827372074127,00:04
29,0.8145509958267212,0.458646833896637,00:05
30,0.771820068359375,0.4456021189689636,00:04
31,0.7308784127235413,0.4430217146873474,00:04
32,0.6913075447082521,0.4540493488311768,00:04
33,0.6525909900665283,0.4347092509269713,00:04
34,0.6167618632316589,0.4192928075790405,00:05
35,0.5835806727409363,0.4160350561141968,00:04
36,0.5547605752944946,0.4044992029666901,00:05
37,0.5270065069198608,0.3943795561790466,00:05
38,0.49555903673171997,0.3838578164577484,00:04
39,0.4729857444763184,0.3790509104728699,00:04
40,0.4489031732082367,0.3740321099758148,00:04
41,0.4232015013694763,0.3802010416984558,00:04
42,0.4050498306751251,0.371313214302063,00:04
43,0.3900311589241028,0.3655642569065094,00:07
44,0.3695474565029144,0.3700703680515289,00:04
45,0.35313481092453003,0.3603093028068543,00:05
46,0.33596810698509216,0.3519383668899536,00:05
47,0.3202386200428009,0.35173314809799194,00:04
48,0.3051546812057495,0.34842875599861145,00:04
49,0.2944919764995575,0.3538893759250641,00:05
