epoch,train_loss,valid_loss,mae,time
0,3.934100389480591,0.3030742406845093,0.4241217076778412,00:10
1,3.6483230590820312,0.43178483843803406,0.5054605603218079,00:10
2,3.4669830799102783,0.39180028438568115,0.490365207195282,00:10
3,3.442944288253784,0.419906884431839,0.5130996108055115,00:10
4,3.324445962905884,0.46536242961883545,0.5369970798492432,00:10
5,3.226918935775757,0.39880770444869995,0.49480655789375305,00:10
6,3.1932904720306396,0.536369264125824,0.5564120411872864,00:10
7,3.0793726444244385,0.6970461010932922,0.6397352814674377,00:10
8,2.987062454223633,0.6517470479011536,0.6116765737533569,00:11
9,2.8884825706481934,0.718316912651062,0.5982940196990967,00:10
10,2.7581303119659424,0.5905240178108215,0.5528141856193542,00:11
11,2.688096046447754,0.44101467728614807,0.49830320477485657,00:10
12,2.6047656536102295,0.3955088257789612,0.48362305760383606,00:10
13,2.463947296142578,0.34985220432281494,0.4410790205001831,00:11
14,2.3865466117858887,0.30417972803115845,0.3993922472000122,00:11
15,2.2837319374084473,0.32924404740333557,0.427379310131073,00:10
16,2.2006418704986572,0.31687432527542114,0.4275267720222473,00:10
17,2.0733697414398193,0.31184902787208557,0.41902852058410645,00:08
18,1.9626102447509766,0.31543153524398804,0.40331923961639404,00:08
19,1.8590219020843506,0.24396902322769165,0.37024250626564026,00:08
20,1.7668688297271729,0.24633735418319702,0.3727799952030182,00:09
21,1.6752797365188599,0.22031670808792114,0.3452713191509247,00:10
22,1.574475646018982,0.1873474270105362,0.3203718364238739,00:10
23,1.4786639213562012,0.18574708700180054,0.3248877227306366,00:10
24,1.3896312713623047,0.15481160581111908,0.2959807217121124,00:10
25,1.307597041130066,0.14375290274620056,0.28678250312805176,00:11
26,1.2309365272521973,0.1324775516986847,0.27229270339012146,00:08
27,1.164091944694519,0.11856137216091156,0.26122164726257324,00:09
28,1.088779091835022,0.10610446333885193,0.2464597225189209,00:08
29,1.0321558713912964,0.0935056060552597,0.23050881922245026,00:11
30,0.9662066102027893,0.09842568635940552,0.23580321669578552,00:11
31,0.9127909541130066,0.0958370789885521,0.23643739521503448,00:10
32,0.8752492070198059,0.09438671171665192,0.24001915752887726,00:08
33,0.8271517753601074,0.08496943861246109,0.22298318147659302,00:08
34,0.7845403552055359,0.07614564895629883,0.21095013618469238,00:08
35,0.7623274922370911,0.0729534775018692,0.20404767990112305,00:08
36,0.7428545355796814,0.07143166661262512,0.20051449537277222,00:08
37,0.706487774848938,0.06773189455270767,0.19547230005264282,00:08
38,0.6852877736091614,0.06831488013267517,0.19638265669345856,00:08
39,0.6594789624214172,0.06528831273317337,0.19169382750988007,00:09
40,0.6426387429237366,0.06889306753873825,0.1945873349905014,00:09
41,0.6283458471298218,0.06500745564699173,0.1899183690547943,00:09
42,0.6234245300292969,0.06362227350473404,0.1874142587184906,00:09
43,0.5953674912452698,0.06177349016070366,0.18550468981266022,00:09
44,0.5744588375091553,0.05919213593006134,0.18173228204250336,00:08
45,0.5667985081672668,0.06003899872303009,0.18579666316509247,00:08
46,0.5468757748603821,0.06016700714826584,0.1857270896434784,00:08
47,0.5356884598731995,0.05802532657980919,0.18201321363449097,00:08
48,0.5380117893218994,0.059246014803647995,0.18328961730003357,00:08
49,0.5229092836380005,0.059333160519599915,0.18405555188655853,00:08
