epoch,train_loss,valid_loss,mae,r2_score,time
0,0.09653809666633606,0.01750483550131321,0.10727783292531967,-0.34349658502733216,00:01
1,0.09043716639280319,0.01677059940993786,0.10315576940774918,-0.28714383796897747,00:01
2,0.0889926627278328,0.022959861904382706,0.11928194761276245,-0.7621698638868819,00:00
3,0.08850300312042236,0.024141715839505196,0.12222341448068619,-0.8528772527551245,00:01
4,0.08642902970314026,0.026122814044356346,0.12361442297697067,-1.0049266608750935,00:00
5,0.0846988633275032,0.02852480486035347,0.13046512007713318,-1.1892795526607123,00:01
6,0.08313948661088943,0.029710790142416954,0.13398602604866028,-1.2803040626978883,00:00
7,0.08177769184112549,0.02817220240831375,0.12846997380256653,-1.1622171319685224,00:00
8,0.08026789873838425,0.027284102514386177,0.12728829681873322,-1.0940556552338805,00:01
9,0.07875843346118927,0.02566947229206562,0.12276646494865417,-0.9701325089853767,00:01
10,0.07644344866275787,0.02703685685992241,0.12341026216745377,-1.0750792991218043,00:00
11,0.07396946102380753,0.02620399184525013,0.12315388768911362,-1.0111570533468135,00:01
12,0.07208000868558884,0.024549808353185654,0.11746743321418762,-0.8841983913921923,00:01
13,0.06981632113456726,0.02366815321147442,0.11423715949058533,-0.8165313912565362,00:01
14,0.06812844425439835,0.025721363723278046,0.12014712393283844,-0.9741154200718243,00:00
15,0.06587127596139908,0.024253662675619125,0.11364046484231949,-0.8614691950760758,00:01
16,0.06344480812549591,0.022363148629665375,0.1073567345738411,-0.7163723079106854,00:01
17,0.06132319197058678,0.020738359540700912,0.10751007497310638,-0.5916696993356603,00:00
18,0.05864496901631355,0.0172070674598217,0.09494440257549286,-0.320642913762067,00:00
19,0.055669378489255905,0.015484157018363476,0.08662356436252594,-0.18840953803346805,00:00
20,0.05241149291396141,0.014329737983644009,0.08837860822677612,-0.0998077059461,00:01
21,0.04911278560757637,0.012224359437823296,0.07982442528009415,0.0617800225395696,00:00
22,0.04607657343149185,0.009169087745249271,0.06831972301006317,0.29627234697019655,00:00
23,0.043139923363924026,0.009958881884813309,0.06666211783885956,0.23565561139888913,00:00
24,0.040538351982831955,0.011172203347086906,0.06709609180688858,0.14253305418850437,00:00
25,0.03778502717614174,0.01151883415877819,0.06756532937288284,0.11592917355731713,00:00
26,0.03496694564819336,0.009926501661539078,0.06529249250888824,0.23814078667999228,00:01
27,0.032679732888936996,0.007941444404423237,0.06351389735937119,0.39049390155351515,00:01
28,0.03063124045729637,0.010028604418039322,0.06552821397781372,0.2303043103548188,00:00
29,0.028156153857707977,0.00942329689860344,0.0627804696559906,0.27676170147056645,00:01
30,0.02603055350482464,0.008787746541202068,0.05984068289399147,0.3255402849921418,00:01
31,0.02426517754793167,0.00621112110093236,0.05490029603242874,0.5232963618213875,00:01
32,0.022299140691757202,0.0055483668111264706,0.052623651921749115,0.5741627193348506,00:01
33,0.020593980327248573,0.005636020563542843,0.055625416338443756,0.5674352834191508,00:01
34,0.019413065165281296,0.005351492203772068,0.05301228165626526,0.5892728393407389,00:01
